Country1,Country2,Value
BG,UK,5.17
BG,US,1.86
BY,CH,2.02
BY,CY,1.48
BY,CZ,1.5
BY,DE,7.2
BY,DK,2.54
BY,EE,1.35
BY,EL,3.81
BY,ES,8.83
BY,FI,2.51
BY,FR,4.8
BY,HR,1.48
BY,HU,1.47
BY,IE,2.13
BY,IL,1.15
BY,IN,1.04
BY,IS,1.06
BY,IT,6.6
BY,LT,1.17
BY,LU,1.14
BY,LV,1.18
BY,MA,1.02
BY,MC,1.02
BY,ME,1.04
BY,MK,1.11
BY,MT,1.06
BY,NL,3.86
BY,NO,1.97
BY,PL,1.92
BY,PT,2.82
BY,RO,1.74
BY,RS,1.38
BY,RU,1.12
BY,SE,2.43
BY,SI,2.24
BY,SK,1.17
BY,TR,1.52
BY,UA,1.08
BY,UK,4.33
BY,US,1.02
CH,CY,2.47
CH,CZ,2.49
CH,DE,8.19
CH,DK,3.53
CH,EE,2.34
CH,EL,4.8
CH,ES,9.82
CH,FI,3.5
CH,FR,5.8
CH,HR,2.47
CH,HU,2.46
CH,IE,3.12
CH,IL,2.14
CH,IN,2.03
CH,IS,2.05
CH,IT,7.59
CH,LT,2.16
CH,LU,2.13
CH,LV,2.17
CH,MA,2.01
CH,MC,2.01
CH,ME,2.03
CH,MK,2.1
CH,MT,2.05
CH,NL,4.85
CH,NO,2.96
CH,PL,2.91
CH,PT,3.81
CH,RO,2.73
CH,RS,2.37
CH,RU,2.11
CH,SE,3.42
CH,SI,3.23
CH,SK,2.16
CH,TR,2.51
CH,UA,2.07
CH,UK,5.32
CH,US,2.01
CY,CZ,1.95
CY,DE,7.65
CY,DK,2.99
CY,EE,1.8
CY,EL,4.25
CY,ES,9.28
CY,FI,2.96
CY,FR,5.25
CY,HR,1.93
CY,HU,1.92
CY,IE,2.58
CY,IL,1.6
CY,IN,1.49
CY,IS,1.5
CY,IT,7.05
CY,LT,1.61
CY,LU,1.59
CY,LV,1.63
CY,MA,1.47
CY,MC,1.47
CY,ME,1.49
CY,MK,1.56
CY,MT,1.51
CY,NL,4.31
CY,NO,2.42
CY,PL,2.37
CY,PT,3.27
CY,RO,2.19
CY,RS,1.83
CY,RU,1.57
CY,SE,2.88
CY,SI,2.69
CY,SK,1.62
CY,TR,1.97
CY,UA,1.53
CY,UK,4.78
CY,US,1.47
CZ,DE,7.67
CZ,DK,3.02
CZ,EE,1.83
CZ,EL,4.28
CZ,ES,9.31
CZ,FI,2.99
CZ,FR,5.28
CZ,HR,1.95
CZ,HU,1.94
CZ,IE,2.6
CZ,IL,1.62
CZ,IN,1.51
CZ,IS,1.53
CZ,IT,7.08
CZ,LT,1.64
CZ,LU,1.61
CZ,LV,1.66
CZ,MA,1.5
CZ,MC,1.5
CZ,ME,1.51
CZ,MK,1.59
CZ,MT,1.54
CZ,NL,4.34
CZ,NO,2.45
CZ,PL,2.39
CZ,PT,3.3
CZ,RO,2.22
CZ,RS,1.85
CZ,RU,1.6
CZ,SE,2.91
CZ,SI,2.71
CZ,SK,1.65
CZ,TR,2
CZ,UA,1.56
CZ,UK,4.8
CZ,US,1.5
DE,DK,8.71
DE,EE,7.52
DE,EL,9.98
DE,ES,15
DE,FI,8.68
DE,FR,10.98
DE,HR,7.65
DE,HU,7.64
DE,IE,8.3
DE,IL,7.32
DE,IN,7.21
DE,IS,7.23
DE,IT,12.77
DE,LT,7.34
DE,LU,7.31
DE,LV,7.35
DE,MA,7.19
DE,MC,7.19
DE,ME,7.21
DE,MK,7.28
DE,MT,7.23
DE,NL,10.03
DE,NO,8.14
DE,PL,8.09
DE,PT,8.99
DE,RO,7.91
DE,RS,7.55
DE,RU,7.29
DE,SE,8.6
DE,SI,8.41
DE,SK,7.34
DE,TR,7.69
DE,UA,7.25
DE,UK,10.5
DE,US,7.19
DK,EE,2.86
DK,EL,5.32
DK,ES,10.34
DK,FI,4.03
DK,FR,6.32
DK,HR,2.99
DK,HU,2.98
DK,IE,3.64
DK,IL,2.66
DK,IN,2.55
DK,IS,2.57
DK,IT,8.11
DK,LT,2.68
DK,LU,2.65
DK,LV,2.7
DK,MA,2.53
DK,MC,2.53
DK,ME,2.55
DK,MK,2.62
DK,MT,2.58
DK,NL,5.37
DK,NO,3.48
DK,PL,3.43
DK,PT,4.34
DK,RO,3.26
DK,RS,2.89
DK,RU,2.63
DK,SE,3.94
DK,SI,3.75
DK,SK,2.69
DK,TR,3.04
DK,UA,2.6
DK,UK,5.84
DK,US,2.53
EE,EL,4.13
EE,ES,9.15
EE,FI,2.83
EE,FR,5.13
EE,HR,1.8
EE,HU,1.79
EE,IE,2.45
EE,IL,1.47
EE,IN,1.36
EE,IS,1.38
EE,IT,6.92
EE,LT,1.49
EE,LU,1.46
EE,LV,1.5
EE,MA,1.34
EE,MC,1.34
EE,ME,1.36
EE,MK,1.43
EE,MT,1.39
EE,NL,4.18
EE,NO,2.29
EE,PL,2.24
EE,PT,3.15
EE,RO,2.06
EE,RS,1.7
EE,RU,1.44
EE,SE,2.75
EE,SI,2.56
EE,SK,1.5
EE,TR,1.84
EE,UA,1.4
EE,UK,4.65
EE,US,1.34
EL,ES,11.61
EL,FI,5.29
EL,FR,7.58
EL,HR,4.25
EL,HU,4.25
EL,IE,4.91
EL,IL,3.92
EL,IN,3.81
EL,IS,3.83
EL,IT,9.38
EL,LT,3.94
EL,LU,3.92
EL,LV,3.96
EL,MA,3.8
EL,MC,3.8
EL,ME,3.81
EL,MK,3.89
EL,MT,3.84
EL,NL,6.64
EL,NO,4.75
EL,PL,4.69
EL,PT,5.6
EL,RO,4.52
EL,RS,4.15
EL,RU,3.9
EL,SE,5.21
EL,SI,5.02
EL,SK,3.95
EL,TR,4.3
EL,UA,3.86
EL,UK,7.11
EL,US,3.8
ES,FI,10.31
ES,FR,12.61
ES,HR,9.28
ES,HU,9.27
ES,IE,9.93
ES,IL,8.95
ES,IN,8.84
ES,IS,8.86
ES,IT,14.4
ES,LT,8.97
ES,LU,8.94
ES,LV,8.99
ES,MA,8.82
ES,MC,8.82
ES,ME,8.84
ES,MK,8.91
ES,MT,8.87
ES,NL,11.66
ES,NO,9.77
ES,PL,9.72
ES,PT,10.63
ES,RO,9.54
ES,RS,9.18
ES,RU,8.92
ES,SE,10.23
ES,SI,10.04
ES,SK,8.98
ES,TR,9.32
ES,UA,8.88
ES,UK,12.13
ES,US,8.82
FI,FR,6.29
FI,HR,2.96
FI,HU,2.95
FI,IE,3.61
FI,IL,2.63
FI,IN,2.52
FI,IS,2.54
FI,IT,8.09
FI,LT,2.65
FI,LU,2.62
FI,LV,2.67
FI,MA,2.5
FI,MC,2.5
FI,ME,2.52
FI,MK,2.6
FI,MT,2.55
FI,NL,5.35
FI,NO,3.46
FI,PL,3.4
FI,PT,4.31
FI,RO,3.23
FI,RS,2.86
FI,RU,2.6
FI,SE,3.92
FI,SI,3.72
FI,SK,2.66
FI,TR,3.01
FI,UA,2.57
FI,UK,5.81
FI,US,2.5
FR,HR,5.25
FR,HU,5.24
FR,IE,5.91
FR,IL,4.92
FR,IN,4.81
FR,IS,4.83
FR,IT,10.38
FR,LT,4.94
FR,LU,4.91
FR,LV,4.96
FR,MA,4.8
FR,MC,4.8
FR,ME,4.81
FR,MK,4.89
FR,MT,4.84
FR,NL,7.64
FR,NO,5.75
FR,PL,5.69
FR,PT,6.6
FR,RO,5.52
FR,RS,5.15
FR,RU,4.9
FR,SE,6.21
FR,SI,6.02
FR,SK,4.95
FR,TR,5.3
FR,UA,4.86
FR,UK,8.11
FR,US,4.8
HR,HU,1.92
HR,IE,2.58
HR,IL,1.6
HR,IN,1.49
HR,IS,1.5
HR,IT,7.05
HR,LT,1.61
HR,LU,1.59
HR,LV,1.63
HR,MA,1.47
HR,MC,1.47
HR,ME,1.49
HR,MK,1.56
HR,MT,1.51
HR,NL,4.31
HR,NO,2.42
HR,PL,2.37
HR,PT,3.27
HR,RO,2.19
HR,RS,1.83
HR,RU,1.57
HR,SE,2.88
HR,SI,2.69
HR,SK,1.62
HR,TR,1.97
HR,UA,1.53
HR,UK,4.78
HR,US,1.47
HU,IE,2.57
HU,IL,1.59
HU,IN,1.48
HU,IS,1.5
HU,IT,7.04
HU,LT,1.61
HU,LU,1.58
HU,LV,1.62
HU,MA,1.46
HU,MC,1.46
HU,ME,1.48
HU,MK,1.55
HU,MT,1.5
HU,NL,4.3
HU,NO,2.41
HU,PL,2.36
HU,PT,3.26
HU,RO,2.18
HU,RS,1.82
HU,RU,1.56
HU,SE,2.87
HU,SI,2.68
HU,SK,1.61
HU,TR,1.96
HU,UA,1.52
HU,UK,4.77
HU,US,1.46
IE,IL,2.25
IE,IN,2.14
IE,IS,2.16
IE,IT,7.7
IE,LT,2.27
IE,LU,2.24
IE,LV,2.28
IE,MA,2.12
IE,MC,2.12
IE,ME,2.14
IE,MK,2.21
IE,MT,2.16
IE,NL,4.96
IE,NO,3.07
IE,PL,3.02
IE,PT,3.92
IE,RO,2.84
IE,RS,2.48
IE,RU,2.22
IE,SE,3.53
IE,SI,3.34
IE,SK,2.27
IE,TR,2.62
IE,UA,2.18
IE,UK,5.43
IE,US,2.12
IL,IN,1.16
IL,IS,1.17
IL,IT,6.72
IL,LT,1.28
IL,LU,1.26
IL,LV,1.3
IL,MA,1.14
IL,MC,1.14
IL,ME,1.16
IL,MK,1.23
IL,MT,1.18
IL,NL,3.98
IL,NO,2.09
IL,PL,2.04
IL,PT,2.94
IL,RO,1.86
IL,RS,1.5
IL,RU,1.24
IL,SE,2.55
IL,SI,2.36
IL,SK,1.29
IL,TR,1.64
IL,UA,1.2
IL,UK,4.45
IL,US,1.14
IN,IS,1.06
IN,IT,6.61
IN,LT,1.17
IN,LU,1.15
IN,LV,1.19
IN,MA,1.03
IN,MC,1.03
IN,ME,1.05
IN,MK,1.12
IN,MT,1.07
IN,NL,3.87
IN,NO,1.98
IN,PL,1.93
IN,PT,2.83
IN,RO,1.75
IN,RS,1.39
IN,RU,1.13
IN,SE,2.44
IN,SI,2.25
IN,SK,1.18
IN,TR,1.53
IN,UA,1.09
IN,UK,4.34
IN,US,1.03
IS,IT,6.63
IS,LT,1.19
IS,LU,1.17
IS,LV,1.21
IS,MA,1.05
IS,MC,1.05
IS,ME,1.06
IS,MK,1.14
IS,MT,1.09
IS,NL,3.89
IS,NO,2
IS,PL,1.94
IS,PT,2.85
IS,RO,1.77
IS,RS,1.4
IS,RU,1.15
IS,SE,2.46
IS,SI,2.27
IS,SK,1.2
IS,TR,1.55
IS,UA,1.11
IS,UK,4.36
IS,US,1.05
IT,LT,6.74
IT,LU,6.71
IT,LV,6.76
IT,MA,6.59
IT,MC,6.59
IT,ME,6.61
IT,MK,6.68
IT,MT,6.64
IT,NL,9.43
IT,NO,7.55
IT,PL,7.49
IT,PT,8.4
IT,RO,7.32
IT,RS,6.95
IT,RU,6.69
IT,SE,8
IT,SI,7.81
IT,SK,6.75
IT,TR,7.1
IT,UA,6.66
IT,UK,9.9
IT,US,6.59
LT,LU,1.28
LT,LV,1.32
LT,MA,1.16
LT,MC,1.16
LT,ME,1.17
LT,MK,1.25
LT,MT,1.2
LT,NL,4
LT,NO,2.11
LT,PL,2.05
LT,PT,2.96
LT,RO,1.88
LT,RS,1.51
LT,RU,1.26
LT,SE,2.57
LT,SI,2.38
LT,SK,1.31
LT,TR,1.66
LT,UA,1.22
LT,UK,4.47
LT,US,1.16
LU,LV,1.29
LU,MA,1.13
LU,MC,1.13
LU,ME,1.15
LU,MK,1.22
LU,MT,1.17
LU,NL,3.97
LU,NO,2.08
LU,PL,2.03
LU,PT,2.93
LU,RO,1.85
LU,RS,1.49
LU,RU,1.23
LU,SE,2.54
LU,SI,2.35
LU,SK,1.28
LU,TR,1.63
LU,UA,1.19
LU,UK,4.44
LU,US,1.13
LV,MA,1.17
LV,MC,1.17
LV,ME,1.19
LV,MK,1.27
LV,MT,1.22
LV,NL,4.02
LV,NO,2.13
LV,PL,2.07
LV,PT,2.98
LV,RO,1.9
LV,RS,1.53
LV,RU,1.28
LV,SE,2.59
LV,SI,2.39
LV,SK,1.33
LV,TR,1.68
LV,UA,1.24
LV,UK,4.48
LV,US,1.17
MA,MC,1.01
MA,ME,1.03
MA,MK,1.1
MA,MT,1.06
MA,NL,3.85
MA,NO,1.96
MA,PL,1.91
MA,PT,2.82
MA,RO,1.73
MA,RS,1.37
MA,RU,1.11
MA,SE,2.42
MA,SI,2.23
MA,SK,1.17
MA,TR,1.51
MA,UA,1.07
MA,UK,4.32
MA,US,1.01
MC,ME,1.03
MC,MK,1.1
MC,MT,1.06
MC,NL,3.85
MC,NO,1.96
MC,PL,1.91
MC,PT,2.82
MC,RO,1.73
MC,RS,1.37
MC,RU,1.11
MC,SE,2.42
MC,SI,2.23
MC,SK,1.17
MC,TR,1.51
MC,UA,1.07
MC,UK,4.32
MC,US,1.01
ME,MK,1.12
ME,MT,1.07
ME,NL,3.87
ME,NO,1.98
ME,PL,1.93
ME,PT,2.83
ME,RO,1.75
ME,RS,1.39
ME,RU,1.13
ME,SE,2.44
ME,SI,2.25
ME,SK,1.18
ME,TR,1.53
ME,UA,1.09
ME,UK,4.34
ME,US,1.03
MK,MT,1.15
MK,NL,3.94
MK,NO,2.05
MK,PL,2
MK,PT,2.91
MK,RO,1.83
MK,RS,1.46
MK,RU,1.2
MK,SE,2.51
MK,SI,2.32
MK,SK,1.26
MK,TR,1.61
MK,UA,1.17
MK,UK,4.41
MK,US,1.1
MT,NL,3.9
MT,NO,2.01
MT,PL,1.95
MT,PT,2.86
MT,RO,1.78
MT,RS,1.41
MT,RU,1.16
MT,SE,2.47
MT,SI,2.27
MT,SK,1.21
MT,TR,1.56
MT,UA,1.12
MT,UK,4.36
MT,US,1.06
NL,NO,4.8
NL,PL,4.75
NL,PT,5.66
NL,RO,4.58
NL,RS,4.21
NL,RU,3.95
NL,SE,5.26
NL,SI,5.07
NL,SK,4.01
NL,TR,4.36
NL,UA,3.92
NL,UK,7.16
NL,US,3.85
NO,PL,2.86
NO,PT,3.77
NO,RO,2.69
NO,RS,2.32
NO,RU,2.06
NO,SE,3.37
NO,SI,3.18
NO,SK,2.12
NO,TR,2.47
NO,UA,2.03
NO,UK,5.27
NO,US,1.96
PL,PT,3.71
PL,RO,2.63
PL,RS,2.27
PL,RU,2.01
PL,SE,3.32
PL,SI,3.13
PL,SK,2.06
PL,TR,2.41
PL,UA,1.97
PL,UK,5.22
PL,US,1.91
PT,RO,3.54
PT,RS,3.17
PT,RU,2.92
PT,SE,4.23
PT,SI,4.03
PT,SK,2.97
PT,TR,3.32
PT,UA,2.88
PT,UK,6.13
PT,US,2.82
RO,RS,2.09
RO,RU,1.83
RO,SE,3.15
RO,SI,2.95
RO,SK,1.89
RO,TR,2.24
RO,UA,1.8
RO,UK,5.04
RO,US,1.73
RS,RU,1.47
RS,SE,2.78
RS,SI,2.59
RS,SK,1.52
RS,TR,1.87
RS,UA,1.43
RS,UK,4.68
RS,US,1.37
RU,SE,2.52
RU,SI,2.33
RU,SK,1.27
RU,TR,1.61
RU,UA,1.17
RU,UK,4.42
RU,US,1.11
SE,SI,3.64
SE,SK,2.58
SE,TR,2.93
SE,UA,2.49
SE,UK,5.73
SE,US,2.42
SI,SK,2.38
SI,TR,2.73
SI,UA,2.29
SI,UK,5.54
SI,US,2.23
SK,TR,1.67
SK,UA,1.23
SK,UK,4.47
SK,US,1.17
TR,UA,1.58
TR,UK,4.82
TR,US,1.51
UA,UK,4.38
UA,US,1.07
UK,US,4.32
